artist_uri,artist_name,song_uri,song_name
spotify:artist:4tZwfgrHOc3mvqYlEYSvVi,Daft Punk,spotify:track:2Foc5Q5nqNiosCNqttzHof,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit
spotify:artist:63MQldklfxkjYDoUE4Tppz,M83,spotify:track:1eyzqe2QqGZUmfcPZtrIyt,Midnight City
spotify:artist:7EQ0qTo7fWT7DPxmxtSYEc,Bastille,spotify:track:3gbBpTdY8lnQwqxNCcf795,Pompeii
spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,spotify:track:77TT8Xvx637TpzV8kKGkUw,Titanium (feat. Sia)
spotify:artist:3fMbdgg4jU18AjLCKBhRSm,Michael Jackson,spotify:track:5ChkMS8OtdzJeqyybCc9R5,Billie Jean
spotify:artist:2RdwBSPQiwcmiDo9kixcl8,Pharrell Williams,spotify:track:5b88tNINg4Q4nrRbrCXUmg,"Happy - From ""Despicable Me 2"""
spotify:artist:2AsusXITU8P25dlRNhcAbG,Gotye,spotify:track:4wCmqSrbyCgxEXROQE6vtV,Somebody That I Used To Know
spotify:artist:1vCWHaC5f2uS3yhpwWbIA6,Avicii,spotify:track:4h8VwCb1MTGoLKueQ1WgbD,Wake Me Up
spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,Rihanna,spotify:track:6qn9YLKt13AGvpq9jfO8py,We Found Love
spotify:artist:53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,spotify:track:4G8gkOterJn0Ywt6uhqbhp,Radioactive
spotify:artist:3gd8FJtBJtkRxdfbTu19U2,Mumford & Sons,spotify:track:0hm8rgOY17z7kQJlqGKbu7,I Will Wait
spotify:artist:4dwdTW1Lfiq0cM8nBAqIIz,Of Monsters and Men,spotify:track:2ihCaVdNZmnHZWt0fvAM7B,Little Talks
spotify:artist:163tK9Wjr9P9DmM0AVK7lm,Lorde,spotify:track:2dLLR6qlu5UJ5gk0dKz0h3,Royals
spotify:artist:5BcAKTbp20cv7tC5VqPFoC,Macklemore & Ryan Lewis,spotify:track:3bidbhpOYeV4knp8AIu8Xn,Can't Hold Us - feat. Ray Dalton
spotify:artist:16oZKvXb6WkQlVAjwo2Wbg,The Lumineers,spotify:track:0W4Kpfp1w2xkY3PrV714B7,Ho Hey
spotify:artist:0gadJ2b9A4SKsB1RFkBb66,Passenger,spotify:track:0JmiBCpWc1IAc0et7Xm7FL,Let Her Go
spotify:artist:7gP3bB2nilZXLfPHJhMdvc,Foster The People,spotify:track:7w87IxuO7BDcJ3YUqCyMTT,Pumped Up Kicks
spotify:artist:6nS5roXSAGhTGr34W6n7Et,Disclosure,spotify:track:1DunhgeZSEgWiIYbHqXl0c,Latch
spotify:artist:3gd8FJtBJtkRxdfbTu19U2,Mumford & Sons,spotify:track:7IxVWmdabNVhfLBV3JD0nJ,The Cave
spotify:artist:1VBflYyxBhnDc9uVib98rw,Icona Pop,spotify:track:6HZ9VeI5IRFCNQLXhpF4bq,I Love It (feat. Charli XCX)
spotify:artist:4Z8W4fKeB5YxbusRsdQVPb,Radiohead,spotify:track:6b2oQwSGFkzsMtQruIWm2p,Creep
spotify:artist:5nCi3BB41mBaMH9gfr6Su0,fun.,spotify:track:7a86XRg84qjasly9f6bPSD,We Are Young (feat. Janelle Monáe)
spotify:artist:0ZrpamOxcZybMHGg1AYtHP,Robin Thicke,spotify:track:0n4bITAu0Y0nigrz3MFJMb,Blurred Lines
spotify:artist:4gwpcMTbLWtBUlOijbVpuu,Capital Cities,spotify:track:6Z8R6UsFuGXGtiIxiD8ISb,Safe And Sound
spotify:artist:1vCWHaC5f2uS3yhpwWbIA6,Avicii,spotify:track:6f54knyJHYJ1v6P591HPWU,Levels - Radio Edit
spotify:artist:00FQb4jTyendYWaN8pK0wa,Lana Del Rey,spotify:track:2dBwB667LHQkLhdYlwLUZK,Summertime Sadness
spotify:artist:12Chz98pHFMPJEknJQMWvI,Muse,spotify:track:4VqPOruhp5EdPBeR92t6lQ,Uprising
spotify:artist:6olE6TJLqED3rqDCT0FyPh,Nirvana,spotify:track:5ghIJDpPoe3CfHMGu71E6T,Smells Like Teen Spirit
spotify:artist:5BcAKTbp20cv7tC5VqPFoC,Macklemore & Ryan Lewis,spotify:track:4YMqbFcDIFiCBd02PzUBcM,Thrift Shop (feat. Wanz)
spotify:artist:6MDME20pz9RveH9rEXvrOM,Clean Bandit,spotify:track:3s4U7OHV7gnj42VV72eSZ6,Rather Be (feat. Jess Glynne)
spotify:artist:5y2Xq6xcjJb2jVM54GHK3t,John Legend,spotify:track:3U4isOIWM3VvDubwSI3y7a,All of Me
spotify:artist:0C0XlULifJtAgn6ZNCW2eu,The Killers,spotify:track:7oK9VyNzrYvRFo7nQEYkWN,Mr. Brightside
spotify:artist:4W48hZAnAHVOC2c8WH8pcq,The Temper Trap,spotify:track:5RoIXwyTCdyUjpMMkk4uPd,Sweet Disposition
spotify:artist:4gzpq5DPGxSnKTe4SA8HAU,Coldplay,spotify:track:1mea3bSkSGXuIRvnydlB5b,Viva La Vida
spotify:artist:0SwO7SWeDHJijQ3XNS7xEE,MGMT,spotify:track:1jJci4qxiYcOHhQR247rEU,Kids
spotify:artist:4gzpq5DPGxSnKTe4SA8HAU,Coldplay,spotify:track:7LVHVU3tWfcxj5aiPFEW4Q,Fix You
spotify:artist:4njdEjTnLfcGImKZu1iSrz,AWOLNATION,spotify:track:5xhQChGGhKLWqBqX4XhtYE,Sail
spotify:artist:4dpARuHxo51G3z768sgnrY,Adele,spotify:track:1CkvWZme3pRgbzaxZnTl5X,Rolling in the Deep
spotify:artist:2DaxqgrOhkeH0fpeiQq2f4,Oasis,spotify:track:5wj4E6IsrVtn8IBJQOd0Cl,Wonderwall - Remastered
spotify:artist:7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys,spotify:track:5FVd6KXrgO9B3JPmC8OPst,Do I Wanna Know?
spotify:artist:4LEiUm1SRbFMgfqnQTwUbQ,Bon Iver,spotify:track:2cbic3TiUENlJX91y67ARR,Skinny Love
spotify:artist:7jy3rLJdDQY21OgRLCZ9sD,Foo Fighters,spotify:track:5UWwZ5lm5PKu6eKsHAGxOk,Everlong
spotify:artist:1dfeR4HaWDbWqFHLkxsg1d,Queen,spotify:track:7tFiyTwD0nx5a1eklYtX2J,Bohemian Rhapsody - Remastered 2011
spotify:artist:2qk9voo8llSGYcZ6xrBzKx,Kings of Leon,spotify:track:0ntQJM78wzOLVeCUAW7Y45,Sex on Fire
spotify:artist:1moxjboGR7GNWYIMWsRjgG,Florence + The Machine,spotify:track:1YLJVmuzeM2YSUkCCaTNUB,Dog Days Are Over
spotify:artist:1h6Cn3P4NGzXbaXidqURXs,Swedish House Mafia,spotify:track:2V65y3PX4DkRhy1djlxd9p,Don't You Worry Child - Radio Edit
spotify:artist:2FXC3k01G6Gw61bmprjgqS,Hozier,spotify:track:1CS7Sd1u5tWkstBhpssyjP,Take Me to Church
spotify:artist:4gzpq5DPGxSnKTe4SA8HAU,Coldplay,spotify:track:75JFxkI2RXiU7L9VXzMkle,The Scientist
spotify:artist:0X2BH1fck6amBIoJhDVmmJ,Ellie Goulding,spotify:track:7gUpO6td4OOnu0Lf9vhcIV,Lights - Single Version
spotify:artist:4NHQUGzhtTLFvgF5SZesLK,Tove Lo,spotify:track:14OxJlLdcHNpgsm4DRwDOB,Habits (Stay High)
spotify:artist:4gzpq5DPGxSnKTe4SA8HAU,Coldplay,spotify:track:6nek1Nin9q48AVZcWs9e9D,Paradise
spotify:artist:4gzpq5DPGxSnKTe4SA8HAU,Coldplay,spotify:track:3AJwUDP919kvQ9QcozQPxg,Yellow
spotify:artist:536BYVgOnRky0xjsPT96zl,Two Door Cinema Club,spotify:track:5yDX0yhtLyf0zEXEqXqyAa,Something Good Can Work
spotify:artist:5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,spotify:track:6sy3LkhNFjJWlaeSMNwQ62,Counting Stars
spotify:artist:5WUlDfRSoLAfcVSX1WnrxN,Sia,spotify:track:2s1sdSqGcKxpPr5lCl7jAV,Chandelier
spotify:artist:53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,spotify:track:6BtmXhTJMM9sBTHeYYASGz,It's Time
spotify:artist:3hv9jJF3adDNsBSIQDqcjp,Mark Ronson,spotify:track:32OlwWuMpZ6b0aN2RZOeMS,Uptown Funk
spotify:artist:7MhMgCo0Bl0Kukl93PZbYS,Blur,spotify:track:1FTSo4v6BOZH9QxKc3MbVM,Song 2 - 2012 Remaster
spotify:artist:0X2BH1fck6amBIoJhDVmmJ,Ellie Goulding,spotify:track:0xMd5bcWTbyXS7wPrBtZA6,Burn
spotify:artist:04gDigrS5kc9YWfZHwBETP,Maroon 5,spotify:track:7LcfRTgAVTs5pQGEQgUEzN,Moves Like Jagger - Studio Recording From The Voice Performance
spotify:artist:0SwO7SWeDHJijQ3XNS7xEE,MGMT,spotify:track:3FtYbEfBqAlGO46NUDQSAt,Electric Feel
spotify:artist:0du5cEVh5yTK9QJze8zA0C,Bruno Mars,spotify:track:3w3y8KPTfNeOKPiqUTakBh,Locked Out of Heaven
spotify:artist:3gd8FJtBJtkRxdfbTu19U2,Mumford & Sons,spotify:track:6JnufVNLIO5F5Lk4sEVLeI,Little Lion Man
spotify:artist:7CajNmpbOovFoOoasH2HaY,Calvin Harris,spotify:track:1gihuPhrLraKYrJMAEONyc,Feel So Close - Radio Edit
spotify:artist:3sgFRtyBnxXD5ESfmbK4dl,LMFAO,spotify:track:0IkKz2J93C94Ei4BvDop7P,Party Rock Anthem
spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,Rihanna,spotify:track:1z9kQ14XBSN0r2v6fx4IdG,Diamonds
spotify:artist:2cGwlqi3k18jFpUyTrsR84,The Verve,spotify:track:57iDDD9N9tTWe75x6qhStw,Bitter Sweet Symphony
spotify:artist:07YZf4WDAMNwqr4jfgOZ8y,Jason Derulo,spotify:track:5KONnBIQ9LqCxyeSPin26k,Trumpets
spotify:artist:6sFIWsNpZYqfjUpaCgueju,Carly Rae Jepsen,spotify:track:3TGRqZ0a2l1LRblBkJoaDx,Call Me Maybe
spotify:artist:536BYVgOnRky0xjsPT96zl,Two Door Cinema Club,spotify:track:3UjtIALeg72qmJiKPWBvM3,What You Know
spotify:artist:53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,spotify:track:3LlAyCYU26dvFZBDUIMb7a,Demons
spotify:artist:3qm84nBOXUEQ2vnTfUTTFC,Guns N' Roses,spotify:track:7snQQk1zcKl8gZ92AnueZW,Sweet Child O' Mine
spotify:artist:3fMbdgg4jU18AjLCKBhRSm,Michael Jackson,spotify:track:2bCQHF9gdG5BNDVuEIEnNk,Smooth Criminal - 2012 Remaster
spotify:artist:7CajNmpbOovFoOoasH2HaY,Calvin Harris,spotify:track:24LS4lQShWyixJ0ZrJXfJ5,Sweet Nothing (feat. Florence Welch)
spotify:artist:1dfeR4HaWDbWqFHLkxsg1d,Queen,spotify:track:11IzgLRXV7Cgek3tEgGgjw,Under Pressure - Remastered
spotify:artist:7giUHu5pv6YTZgSkxxCcgh,Edward Sharpe & The Magnetic Zeros,spotify:track:7KWGfnsUU4Ri46TIvjpAPx,Home - 2019 - Remaster
spotify:artist:7dGJo4pcD2V6oG8kP0tJRR,Eminem,spotify:track:15JINEqzVMv3SvJTAXAKED,Love The Way You Lie
spotify:artist:0oeUpvxWsC8bWS6SnpU8b9,The Naked And Famous,spotify:track:25nzKGDiua1lE9Qo5V19GL,Young Blood
spotify:artist:7mnBLXK823vNxN3UWB7Gfz,The Black Keys,spotify:track:5G1sTBGbZT5o4PNRc75RKI,Lonely Boy
spotify:artist:4F84IBURUo98rz4r61KF70,The White Stripes,spotify:track:7i6r9KotUPQg3ozKKgEPIN,Seven Nation Army
spotify:artist:0rvjqX7ttXeg3mTy8Xscbt,Journey,spotify:track:4bHsxqR3GMrXTxEPLuK5ue,Don't Stop Believin'
spotify:artist:3TNt4aUIxgfy9aoaft5Jj2,Yeah Yeah Yeahs,spotify:track:2idmlkd8oUaQvYEtINpLBX,Heads Will Roll - A-Trak Remix
spotify:artist:5eAWCfyUhZtHHtBdNk56l1,System Of A Down,spotify:track:2DlHlPMa4M17kufBvI2lEN,Chop Suey!
spotify:artist:31TPClRtHm23RisEBtV3X7,Justin Timberlake,spotify:track:4rHZZAmHpZrA3iH5zx8frV,Mirrors
spotify:artist:1HY2Jd0NmPuamShAr6KMms,Lady Gaga,spotify:track:0SiywuOBRcynK0uKGWdCnn,Bad Romance
spotify:artist:00FQb4jTyendYWaN8pK0wa,Lana Del Rey,spotify:track:24jvD83UgLmrdGjhWTFslY,Video Games - Remastered
spotify:artist:5nCi3BB41mBaMH9gfr6Su0,fun.,spotify:track:6t6oULCRS6hnI7rm0h5gwl,Some Nights
spotify:artist:0epOFNiUfyON9EYx7Tpr6V,The Strokes,spotify:track:3SUusuA9jH1v6PVwtYMbdv,Last Nite
spotify:artist:1moxjboGR7GNWYIMWsRjgG,Florence + The Machine,spotify:track:4lY95OMGb9WxP6IYut64ir,Shake It Out
spotify:artist:0QJIPDAEDILuo8AIq3pMuU,M.I.A.,spotify:track:1kusepF3AacIEtUTYrw4GV,Paper Planes
spotify:artist:1G9G7WwrXka3Z1r7aIDjI7,OutKast,spotify:track:2PpruBYCo4H7WOBJ7Q2EwM,Hey Ya!
spotify:artist:0XNa1vTidXlvJ2gHSsRi4A,Franz Ferdinand,spotify:track:6ooluO7DiEhI1zmK94nRCM,Take Me Out
spotify:artist:1dfeR4HaWDbWqFHLkxsg1d,Queen,spotify:track:7hQJA50XrCWABAu5v6QZ4i,Don't Stop Me Now - Remastered
spotify:artist:10exVja0key0uqUkk6LJRT,Vance Joy,spotify:track:3JvrhDOgAt6p7K8mDyZwRd,Riptide
spotify:artist:5K4W6rqBFWDnAN6FQUkS6x,Kanye West,spotify:track:2gZUPNdnz5Y45eiGxpHGSc,POWER
spotify:artist:1xU878Z1QtBldR7ru9owdU,Phoenix,spotify:track:7hwcojGiRqYm100tSmpZE3,Lisztomania
spotify:artist:6FXMGgJwohJLUSr5nVlf9X,Massive Attack,spotify:track:67Hna13dNDkZvBpTXRIaOJ,Teardrop
spotify:artist:7CajNmpbOovFoOoasH2HaY,Calvin Harris,spotify:track:6YUTL4dYpB9xZO5qExPf05,Summer
spotify:artist:3iOvXCl6edW5Um0fXEBRXy,The xx,spotify:track:1nmCmB3qdXrzxFhvLJuhuB,Crystalised
spotify:artist:6jJ0s89eD6GaHleKKya26X,Katy Perry,spotify:track:6F5c58TMEs1byxUstkzVeM,Roar
spotify:artist:0C0XlULifJtAgn6ZNCW2eu,The Killers,spotify:track:70wYA8oYHoMzhRRkARoMhU,When You Were Young
spotify:artist:1yxSLGMDHlW21z4YXirZDS,The Black Eyed Peas,spotify:track:4vp2J1l5RD4gMZwGFLfRAu,I Gotta Feeling
spotify:artist:53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,spotify:track:6KuHjfXHkfnIjdmcIvt9r0,On Top Of The World
spotify:artist:0TnOYISbd1XYRBk9myaseg,Pitbull,spotify:track:3cHyrEgdyYRjgJKSOiOtcS,Timber (feat. Ke$ha)
spotify:artist:3TVXtAsR1Inumwj472S9r4,Drake,spotify:track:2aSC2xhRxOLiiZZVjhbylH,"Hold On, We're Going Home"
